sample,epsilon,verdict,tag,seconds
87,0.07,verified,safe-incomplete,0.2015
87,0.08,verified,safe-incomplete,0.2022
87,0.09,verified,safe-incomplete,0.205
87,0.1,verified,safe,0.3311
87,0.11,verified,safe,0.5294
87,0.12,falsified,unsafe-pgd,0.0209
87,0.13,falsified,unsafe-pgd,0.0203
87,0.14,falsified,unsafe-pgd,0.0203
87,0.15,falsified,unsafe-pgd,0.0205
87,0.16,falsified,unsafe-pgd,0.02
87,0.17,falsified,unsafe-pgd,0.0218
87,0.18,falsified,unsafe-pgd,0.0201
87,0.19,falsified,unsafe-pgd,0.0199
87,0.2,falsified,unsafe-pgd,0.0207
88,0.01,verified,safe-incomplete,0.2081
88,0.02,verified,safe-incomplete,0.2036
88,0.03,verified,safe-incomplete,0.2039
88,0.04,verified,safe-incomplete,0.2052
88,0.05,verified,safe-incomplete,0.1927
88,0.06,verified,safe-incomplete,0.2063
88,0.07,verified,safe-incomplete,0.2055
88,0.08,verified,safe-incomplete,0.2054
88,0.09,verified,safe-incomplete,0.204
88,0.1,verified,safe-incomplete,0.2583
88,0.11,verified,safe-incomplete,0.2074
88,0.12,verified,safe-incomplete,0.2067
88,0.13,verified,safe-incomplete,0.2089
88,0.14,verified,safe-incomplete,0.2054
88,0.15,verified,safe-incomplete,0.2052
88,0.16,verified,safe-incomplete,0.2086
88,0.17,verified,safe-incomplete,0.2024
88,0.18,verified,safe-incomplete,0.2045
88,0.19,verified,safe-incomplete,0.1993
88,0.2,verified,safe,0.4648
89,0.01,verified,safe-incomplete,0.2064
89,0.02,verified,safe-incomplete,0.203
89,0.03,verified,safe-incomplete,0.201
89,0.04,verified,safe-incomplete,0.2002
89,0.05,verified,safe-incomplete,0.1915
89,0.06,verified,safe-incomplete,0.2029
89,0.07,verified,safe-incomplete,0.2035
89,0.08,verified,safe-incomplete,0.2036
89,0.09,verified,safe-incomplete,0.2007
89,0.1,verified,safe-incomplete,0.2014
89,0.11,verified,safe-incomplete,0.2022
89,0.12,verified,safe-incomplete,0.2034
89,0.13,verified,safe-incomplete,0.2092
89,0.14,verified,safe-incomplete,0.1988
89,0.15,verified,safe,0.3476
89,0.16,verified,safe,0.552
89,0.17,verified,safe,0.8223
89,0.18,verified,safe,1.3658
89,0.19,verified,safe,1.8963
89,0.2,verified,safe,2.804
90,0.01,verified,safe-incomplete,0.2055
90,0.02,verified,safe-incomplete,0.2062
90,0.03,verified,safe-incomplete,0.209
90,0.04,verified,safe-incomplete,0.2065
90,0.05,verified,safe-incomplete,0.1971
90,0.06,verified,safe-incomplete,0.2029
90,0.07,verified,safe-incomplete,0.2018
90,0.08,verified,safe-incomplete,0.2033
90,0.09,verified,safe-incomplete,0.2087
90,0.1,verified,safe-incomplete,0.2107
90,0.11,verified,safe-incomplete,0.2085
90,0.12,verified,safe-incomplete,0.2069
90,0.13,verified,safe-incomplete,0.2115
90,0.14,verified,safe,0.3377
90,0.15,verified,safe,0.4226
90,0.16,verified,safe,0.6097
90,0.17,verified,safe,0.8528
90,0.18,verified,safe,1.0762
90,0.19,verified,safe,1.4997
90,0.2,verified,safe,2.0938
91,0.01,verified,safe-incomplete,0.2055
91,0.02,verified,safe-incomplete,0.2079
91,0.03,verified,safe-incomplete,0.2092
91,0.04,verified,safe-incomplete,0.2095
91,0.05,verified,safe-incomplete,0.1971
91,0.06,verified,safe-incomplete,0.2019
